# HOMER Peaks
# Peak finding parameters:
# tag directory = tagDirs/SRR3401908
#
# total peaks = 62
# peak size = 137
# peaks found using tags on both strands
# minimum distance between peaks = 274
# fragment length = 136
# genome size = 1663013
# Total tags = 15697333.0
# Total tags in peaks = 2464237.0
# Approximate IP efficiency = 15.70%
# tags per bp = 8.629758
# expected tags per peak = 1182.277
# maximum tags considered per bp = 943.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 6.207220e-05
# FDR tag threshold = 1317.0
# number of putative peaks = 1656
#
# input tag directory = tagDirs/SRR3401659
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 1563
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 31
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = bin/findPeaks tagDirs/SRR3401908 -i tagDirs/SRR3401659 -style factor -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
NC_011333.1-36	NC_011333.1	1618989	1619125	+	9158.2	0.903	14508.000000	3428.3	540.0	6.35	0.00e+00	11.80	0.00e+00	0.48
NC_011333.1-39	NC_011333.1	1431285	1431421	+	8958.8	0.783	14063.000000	3357.5	620.0	5.42	0.00e+00	13.65	0.00e+00	0.48
NC_011333.1-38	NC_011333.1	1111434	1111570	+	8832.1	0.851	14395.000000	3318.2	468.0	7.09	0.00e+00	14.43	0.00e+00	0.48
NC_011333.1-41	NC_011333.1	1224053	1224189	+	8723.8	0.877	13901.000000	3270.3	78.0	41.93	0.00e+00	12.43	0.00e+00	0.47
NC_011333.1-45	NC_011333.1	641174	641310	+	8302.0	0.740	13201.000000	3118.7	243.0	12.83	0.00e+00	12.33	0.00e+00	0.48
NC_011333.1-48	NC_011333.1	157330	157466	+	8064.4	0.903	12764.000000	3023.4	432.0	7.00	0.00e+00	10.97	0.00e+00	0.48
NC_011333.1-49	NC_011333.1	298519	298655	+	7917.3	0.889	12481.000000	2971.9	601.0	4.94	0.00e+00	8.95	0.00e+00	0.49
NC_011333.1-60	NC_011333.1	1041997	1042133	+	7442.7	0.795	11733.000000	2794.3	414.0	6.75	0.00e+00	14.85	0.00e+00	0.46
NC_011333.1-64	NC_011333.1	1629399	1629535	+	6979.5	0.701	11026.000000	2616.1	144.0	18.17	0.00e+00	7.73	0.00e+00	0.35
NC_011333.1-66	NC_011333.1	51186	51322	+	6956.6	0.810	10926.000000	2605.1	364.0	7.16	0.00e+00	11.79	0.00e+00	0.50
NC_011333.1-70	NC_011333.1	1083352	1083488	+	6704.3	0.891	10568.000000	2521.2	260.0	9.70	0.00e+00	9.97	0.00e+00	0.44
NC_011333.1-72	NC_011333.1	812500	812636	+	6392.2	0.807	10083.000000	2400.6	80.0	30.01	0.00e+00	9.39	0.00e+00	0.42
NC_011333.1-74	NC_011333.1	384264	384400	+	6131.0	0.688	9942.000000	2298.8	562.0	4.09	0.00e+00	7.91	0.00e+00	0.48
NC_011333.1-85	NC_011333.1	1433529	1433665	+	5767.2	0.853	9105.000000	2162.0	488.0	4.43	0.00e+00	9.76	0.00e+00	0.49
NC_011333.1-84	NC_011333.1	1396191	1396327	+	5689.5	0.827	9143.000000	2130.3	186.0	11.45	0.00e+00	6.86	0.00e+00	0.49
NC_011333.1-92	NC_011333.1	382388	382524	+	5490.1	0.856	8814.000000	2057.1	433.0	4.75	0.00e+00	7.14	0.00e+00	0.49
NC_011333.1-101	NC_011333.1	471573	471709	+	5402.8	0.875	8537.000000	2022.6	473.0	4.28	0.00e+00	12.80	0.00e+00	0.51
NC_011333.1-103	NC_011333.1	564095	564231	+	5332.8	0.821	8468.000000	2000.7	255.0	7.85	0.00e+00	7.34	0.00e+00	0.45
NC_011333.1-116	NC_011333.1	1170166	1170302	+	4966.4	0.781	7810.000000	1864.8	459.0	4.06	0.00e+00	9.23	0.00e+00	0.49
NC_011333.1-119	NC_011333.1	1474088	1474224	+	4904.7	0.897	7699.000000	1837.9	212.0	8.67	0.00e+00	13.92	0.00e+00	0.40
NC_011333.1-118	NC_011333.1	1009410	1009546	+	4870.3	0.852	7741.000000	1839.1	120.0	15.33	0.00e+00	6.71	0.00e+00	0.46
NC_011333.1-123	NC_011333.1	1357167	1357303	+	4827.6	0.847	7594.000000	1810.9	315.0	5.75	0.00e+00	7.68	0.00e+00	0.46
NC_011333.1-126	NC_011333.1	331496	331632	+	4699.5	0.780	7417.000000	1764.0	332.0	5.31	0.00e+00	8.35	0.00e+00	0.48
NC_011333.1-130	NC_011333.1	581343	581479	+	4667.0	0.696	7347.000000	1747.8	126.0	13.87	0.00e+00	12.03	0.00e+00	0.51
NC_011333.1-134	NC_011333.1	267395	267531	+	4532.0	0.849	7153.000000	1698.2	372.0	4.57	0.00e+00	7.75	0.00e+00	0.49
NC_011333.1-148	NC_011333.1	1378891	1379027	+	4255.5	0.900	6680.000000	1598.1	280.0	5.71	0.00e+00	6.81	0.00e+00	0.49
NC_011333.1-152	NC_011333.1	1557194	1557330	+	4237.0	0.873	6651.000000	1589.0	32.0	49.66	0.00e+00	6.91	0.00e+00	0.34
NC_011333.1-159	NC_011333.1	840511	840647	+	4086.0	0.822	6422.000000	1529.4	280.0	5.46	0.00e+00	6.41	0.00e+00	0.53
NC_011333.1-167	NC_011333.1	968322	968458	+	4014.7	0.827	6311.000000	1502.8	199.0	7.55	0.00e+00	5.71	0.00e+00	0.48
NC_011333.1-177	NC_011333.1	529829	529965	+	3885.4	0.846	6125.000000	1457.5	46.0	31.68	0.00e+00	12.93	0.00e+00	0.31
NC_011333.1-179	NC_011333.1	671135	671271	+	3850.3	0.791	6087.000000	1444.1	172.0	8.40	0.00e+00	4.76	0.00e+00	0.50
NC_011333.1-175	NC_011333.1	824718	824854	+	3849.7	0.706	6163.000000	1445.1	338.0	4.28	0.00e+00	5.61	0.00e+00	0.50
NC_011333.1-199	NC_011333.1	706934	707070	+	3573.2	0.693	5715.000000	1348.5	266.0	5.07	0.00e+00	5.51	0.00e+00	0.47
NC_011333.1-214	NC_011333.1	687135	687271	+	3460.5	0.779	5441.000000	1294.9	297.0	4.36	0.00e+00	4.98	0.00e+00	0.52
NC_011333.1-227	NC_011333.1	499272	499408	+	3353.4	0.862	5264.000000	1255.6	66.0	19.02	0.00e+00	5.03	0.00e+00	0.34
NC_011333.1-264	NC_011333.1	29289	29425	+	3063.6	0.750	4835.000000	1150.0	125.0	9.20	0.00e+00	4.13	0.00e+00	0.51
NC_011333.1-273	NC_011333.1	1095495	1095631	+	3001.1	0.815	4757.000000	1123.1	25.0	44.92	0.00e+00	5.21	0.00e+00	0.49
NC_011333.1-280	NC_011333.1	498900	499036	+	2981.4	0.733	4689.000000	1118.5	90.0	12.43	0.00e+00	4.45	0.00e+00	0.41
NC_011333.1-292	NC_011333.1	474057	474193	+	2850.2	0.921	4489.000000	1068.0	65.0	16.43	0.00e+00	4.25	0.00e+00	0.43
NC_011333.1-337	NC_011333.1	1390837	1390973	+	2510.6	0.787	3978.000000	941.9	128.0	7.36	0.00e+00	4.16	0.00e+00	0.43
NC_011333.1-352	NC_011333.1	1034498	1034634	+	2443.7	0.625	3845.000000	916.4	104.0	8.81	0.00e+00	4.81	0.00e+00	0.49
NC_011333.1-414	NC_011333.1	1058859	1058995	+	2185.7	0.928	3445.000000	818.7	159.0	5.15	3.54e-298	9.35	0.00e+00	0.52
NC_011333.1-594	NC_011333.1	1021586	1021722	+	1745.5	0.869	2740.000000	654.5	91.0	7.19	3.90e-318	6.97	0.00e+00	0.48
NC_011333.1-751	NC_011333.1	1051420	1051556	+	1483.7	0.802	2332.000000	556.8	83.0	6.71	2.92e-256	12.06	0.00e+00	0.35
