# HOMER Peaks
# Peak finding parameters:
# tag directory = tagDirs/SRR3401911
#
# total peaks = 49
# peak size = 67
# peaks found using tags on both strands
# minimum distance between peaks = 134
# fragment length = 66
# genome size = 1663013
# Total tags = 6324874.0
# Total tags in peaks = 241527.0
# Approximate IP efficiency = 3.82%
# tags per bp = 3.719284
# expected tags per peak = 249.192
# maximum tags considered per bp = 380.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 3.390509e-05
# FDR tag threshold = 315.0
# number of putative peaks = 1819
#
# input tag directory = tagDirs/SRR3401754
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 1742
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 28
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = bin/findPeaks tagDirs/SRR3401911 -i tagDirs/SRR3401754 -style factor -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
NC_011333.1-14	NC_011333.1	1224099	1224165	+	6177.2	0.526	3919.000000	2205.0	217.0	10.16	0.00e+00	15.13	0.00e+00	0.57
NC_011333.1-15	NC_011333.1	911876	911942	+	6109.2	0.532	3864.000000	2179.9	251.0	8.68	0.00e+00	9.42	0.00e+00	0.56
NC_011333.1-16	NC_011333.1	1144370	1144436	+	5984.3	0.560	3787.000000	2131.7	243.0	8.77	0.00e+00	13.25	0.00e+00	0.54
NC_011333.1-19	NC_011333.1	939273	939339	+	5467.3	0.469	3491.000000	1964.5	129.0	15.23	0.00e+00	11.66	0.00e+00	0.58
NC_011333.1-18	NC_011333.1	1083448	1083514	+	5432.5	0.524	3531.000000	1977.4	286.0	6.91	0.00e+00	13.52	0.00e+00	0.61
NC_011333.1-21	NC_011333.1	1618987	1619053	+	5170.1	0.518	3277.000000	1839.8	223.0	8.25	0.00e+00	12.44	0.00e+00	0.66
NC_011333.1-22	NC_011333.1	536899	536965	+	5141.6	0.489	3275.000000	1854.3	300.0	6.18	0.00e+00	14.55	0.00e+00	0.63
NC_011333.1-23	NC_011333.1	1192555	1192621	+	5092.6	0.625	3249.000000	1844.2	50.0	36.88	0.00e+00	18.18	0.00e+00	0.49
NC_011333.1-25	NC_011333.1	280623	280689	+	4703.7	0.526	3039.000000	1680.3	413.0	4.07	0.00e+00	14.63	0.00e+00	0.63
NC_011333.1-27	NC_011333.1	1041996	1042062	+	4607.2	0.502	2985.000000	1644.0	303.0	5.43	0.00e+00	14.19	0.00e+00	0.60
NC_011333.1-29	NC_011333.1	1431283	1431349	+	4607.2	0.511	2914.000000	1643.4	324.0	5.07	0.00e+00	10.51	0.00e+00	0.54
NC_011333.1-28	NC_011333.1	1629449	1629515	+	4589.8	0.488	2927.000000	1634.5	56.0	29.19	0.00e+00	8.48	0.00e+00	0.64
NC_011333.1-31	NC_011333.1	812494	812560	+	4360.6	0.531	2812.000000	1574.6	77.0	20.45	0.00e+00	12.10	0.00e+00	0.64
NC_011333.1-32	NC_011333.1	51218	51284	+	4341.6	0.562	2768.000000	1538.3	123.0	12.51	0.00e+00	12.58	0.00e+00	0.63
NC_011333.1-34	NC_011333.1	1111461	1111527	+	4123.4	0.487	2612.000000	1462.2	215.0	6.80	0.00e+00	12.07	0.00e+00	0.58
NC_011333.1-38	NC_011333.1	1275253	1275319	+	3965.3	0.500	2535.000000	1442.0	212.0	6.80	0.00e+00	6.87	0.00e+00	0.61
NC_011333.1-39	NC_011333.1	336672	336738	+	3666.5	0.514	2356.000000	1317.9	232.0	5.68	0.00e+00	10.29	0.00e+00	0.68
NC_011333.1-43	NC_011333.1	564058	564124	+	3442.0	0.543	2191.000000	1222.2	296.0	4.13	0.00e+00	8.47	0.00e+00	0.61
NC_011333.1-45	NC_011333.1	699011	699077	+	3370.8	0.505	2152.000000	1193.1	17.0	70.18	0.00e+00	7.97	0.00e+00	0.57
NC_011333.1-48	NC_011333.1	384294	384360	+	3233.3	0.532	2081.000000	1148.9	217.0	5.29	0.00e+00	7.47	0.00e+00	0.59
NC_011333.1-49	NC_011333.1	331571	331637	+	3140.0	0.553	2080.000000	1112.6	128.0	8.69	0.00e+00	9.82	0.00e+00	0.61
NC_011333.1-53	NC_011333.1	1095545	1095611	+	3135.2	0.520	1983.000000	1114.8	211.0	5.28	0.00e+00	8.70	0.00e+00	0.66
NC_011333.1-61	NC_011333.1	1474118	1474184	+	2917.1	0.496	1874.000000	1051.6	79.0	13.31	0.00e+00	12.29	0.00e+00	0.72
NC_011333.1-58	NC_011333.1	581365	581431	+	2842.7	0.525	1928.000000	1011.3	179.0	5.65	0.00e+00	11.69	0.00e+00	0.61
NC_011333.1-71	NC_011333.1	1390902	1390968	+	2667.2	0.512	1719.000000	956.0	30.0	31.87	0.00e+00	6.61	0.00e+00	0.62
NC_011333.1-62	NC_011333.1	382468	382534	+	2637.2	0.550	1836.000000	945.9	179.0	5.28	0.00e+00	6.13	0.00e+00	0.64
NC_011333.1-77	NC_011333.1	913385	913451	+	2596.1	0.509	1659.000000	926.3	222.0	4.17	4.18e-271	4.70	0.00e+00	0.61
NC_011333.1-83	NC_011333.1	706938	707004	+	2581.9	0.501	1633.000000	930.8	107.0	8.70	0.00e+00	7.28	0.00e+00	0.63
NC_011333.1-76	NC_011333.1	1540046	1540112	+	2510.7	0.515	1665.000000	897.2	196.0	4.58	1.48e-290	5.06	0.00e+00	0.63
NC_011333.1-90	NC_011333.1	1433628	1433694	+	2502.8	0.488	1585.000000	888.3	116.0	7.66	0.00e+00	6.46	0.00e+00	0.71
NC_011333.1-92	NC_011333.1	157367	157433	+	2455.4	0.500	1575.000000	875.4	175.0	5.00	4.31e-310	6.50	0.00e+00	0.66
NC_011333.1-126	NC_011333.1	1557223	1557289	+	2082.3	0.488	1329.000000	744.0	8.0	92.99	0.00e+00	5.52	0.00e+00	0.64
NC_011333.1-128	NC_011333.1	1374687	1374753	+	2069.6	0.620	1309.000000	734.4	77.0	9.54	0.00e+00	5.41	0.00e+00	0.70
NC_011333.1-160	NC_011333.1	266885	266951	+	1804.0	0.523	1166.000000	638.2	95.0	6.72	2.53e-294	5.53	0.00e+00	0.67
NC_011333.1-166	NC_011333.1	883458	883524	+	1789.8	0.483	1155.000000	634.9	154.0	4.12	1.40e-183	6.08	0.00e+00	0.64
NC_011333.1-184	NC_011333.1	499216	499282	+	1679.1	0.527	1094.000000	594.6	62.0	9.59	0.00e+00	4.75	0.00e+00	0.68
NC_011333.1-411	NC_011333.1	529853	529919	+	1095.7	0.498	697.000000	388.8	18.0	21.60	0.00e+00	5.68	3.21e-266	0.61
